SOC,SOH,Power,T,SEI_after,SEI_delta
80,1,-1,23,9.9999999996339800E-09,-0.003660208
80,1,-0.89474,23,9.9999999998685800E-09,-0.001314208
80,1,-0.78947,23,1.0000000000472100E-08,0.004721001
80,1,-0.68421,23,9.9999999998064000E-09,-0.001936
80,1,-0.57895,23,1.0000000000314700E-08,0.003146992
80,1,-0.47368,23,9.9999999995185500E-09,-0.004814505
80,1,-0.36842,23,9.9999999994386000E-09,-0.005614009
80,1,-0.26316,23,1.0000000000745800E-08,0.007457993
80,1,-0.15789,23,1.0000000000171900E-08,0.001718997
80,1,-0.052632,23,9.9999999998854700E-09,-0.001145298
80,1,0.052632,23,1.0000004487763300E-08,44.877633
80,1,0.15789,23,1.0000004618957100E-08,46.189571
80,1,0.26316,23,1.0000004756054000E-08,47.56054
80,1,0.36842,23,1.0000004899984100E-08,48.999841
80,1,0.47368,23,1.0000005048187500E-08,50.48187499
80,1,0.57895,23,1.0000005205038400E-08,52.050384
80,1,0.68421,23,1.0000005368782700E-08,53.687827
80,1,0.78947,23,1.0000005539696300E-08,55.396963
80,1,0.89474,23,1.0000005717722100E-08,57.177221
80,1,1,23,1.0000005904106600E-08,59.041066
80,1.1111,-1,23,1.1110999999703100E-08,-0.002968999
80,1.1111,-0.89474,23,1.1111000000128700E-08,0.00128701
80,1.1111,-0.78947,23,1.1110999999879900E-08,-0.001201
80,1.1111,-0.68421,23,1.1111000000482700E-08,0.004827012
80,1.1111,-0.57895,23,1.1111000000778700E-08,0.007787012
80,1.1111,-0.47368,23,1.1111000000646400E-08,0.006464003
80,1.1111,-0.36842,23,1.1111000000168900E-08,0.001689004
80,1.1111,-0.26316,23,1.1110999999941700E-08,-0.000582997
80,1.1111,-0.15789,23,1.1111000000235800E-08,0.002358011
80,1.1111,-0.052632,23,1.1111000000104700E-08,0.001047012
80,1.1111,0.052632,23,1.1111004482196500E-08,44.821965
80,1.1111,0.15789,23,1.1111004606277100E-08,46.06277101
80,1.1111,0.26316,23,1.1111004736472400E-08,47.36472401
80,1.1111,0.36842,23,1.1111004870273400E-08,48.702734
80,1.1111,0.47368,23,1.1111005010774200E-08,50.10774201
80,1.1111,0.57895,23,1.1111005157704400E-08,51.57704401
80,1.1111,0.68421,23,1.1111005309398000E-08,53.09398001
80,1.1111,0.78947,23,1.1111005469214400E-08,54.69214401
80,1.1111,0.89474,23,1.1111005634292800E-08,56.34292801
80,1.1111,1,23,1.1111005805845600E-08,58.05845601
80,1.2222,-1,23,1.2222000000154400E-08,0.001543999
80,1.2222,-0.89474,23,1.2222000000382400E-08,0.003824006
80,1.2222,-0.78947,23,1.2222000000278200E-08,0.00278199
80,1.2222,-0.68421,23,1.2221999999650900E-08,-0.003491
80,1.2222,-0.57895,23,1.2221999999825000E-08,-0.00175
80,1.2222,-0.47368,23,1.2221999999685400E-08,-0.003145999
80,1.2222,-0.36842,23,1.2222000000216700E-08,0.002166998
80,1.2222,-0.26316,23,1.2221999999732600E-08,-0.002673994
80,1.2222,-0.15789,23,1.2221999999727600E-08,-0.002724005
80,1.2222,-0.052632,23,1.2222000000050600E-08,0.000506003
80,1.2222,0.052632,23,1.2222004478238800E-08,44.782388
80,1.2222,0.15789,23,1.2222004594971800E-08,45.949718
80,1.2222,0.26316,23,1.2222004720543100E-08,47.205431
80,1.2222,0.36842,23,1.2222004848361100E-08,48.48361099
80,1.2222,0.47368,23,1.2222004980258800E-08,49.802588
