,SOC,SOH,Power,T,SEI_after,SEI_delta
10,80,1.0,0.052632000000000005,23,1.00000044877633e-08,44.877633
11,80,1.0,0.15789,23,1.0000004618957099e-08,46.189571
12,80,1.0,0.26316,23,1.0000004756054e-08,47.56054
13,80,1.0,0.36841999999999997,23,1.00000048999841e-08,48.999840999999996
14,80,1.0,0.47368000000000005,23,1.0000005048187501e-08,50.48187499
15,80,1.0,0.57895,23,1.00000052050384e-08,52.050384
16,80,1.0,0.68421,23,1.00000053687827e-08,53.687827
17,80,1.0,0.78947,23,1.00000055396963e-08,55.396963
18,80,1.0,0.89474,23,1.00000057177221e-08,57.177220999999996
19,80,1.0,1.0,23,1.00000059041066e-08,59.041066
30,80,1.1111,0.052632000000000005,23,1.11110044821965e-08,44.821965000000006
31,80,1.1111,0.15789,23,1.11110046062771e-08,46.06277101
32,80,1.1111,0.26316,23,1.1111004736472399e-08,47.36472401
33,80,1.1111,0.36841999999999997,23,1.11110048702734e-08,48.702734
34,80,1.1111,0.47368000000000005,23,1.1111005010774199e-08,50.10774201
35,80,1.1111,0.57895,23,1.11110051577044e-08,51.57704401
36,80,1.1111,0.68421,23,1.1111005309398e-08,53.09398001
37,80,1.1111,0.78947,23,1.11110054692144e-08,54.69214401
38,80,1.1111,0.89474,23,1.11110056342928e-08,56.34292801
39,80,1.1111,1.0,23,1.11110058058456e-08,58.05845601
50,80,1.2222,0.052632000000000005,23,1.22220044782388e-08,44.782388
51,80,1.2222,0.15789,23,1.22220045949718e-08,45.949718
52,80,1.2222,0.26316,23,1.22220047205431e-08,47.205431
53,80,1.2222,0.36841999999999997,23,1.22220048483611e-08,48.48361099
54,80,1.2222,0.47368000000000005,23,1.22220049802588e-08,49.802588
55,80,1.2222,0.57895,23,1.22220051193481e-08,51.193481
56,80,1.2222,0.68421,23,1.22220052627257e-08,52.62725699999999
57,80,1.2222,0.78947,23,1.22220054125584e-08,54.125583999999996
58,80,1.2222,0.89474,23,1.2222005566492e-08,55.664919999999995
59,80,1.2222,1.0,23,1.22220057279016e-08,57.279016000000006
70,80,1.3333,0.052632000000000005,23,1.3333004475297999e-08,44.75298001
71,80,1.3333,0.15789,23,1.33330045892818e-08,45.892818
72,80,1.3333,0.26316,23,1.3333004707501399e-08,47.07501401
73,80,1.3333,0.36841999999999997,23,1.33330048291526e-08,48.29152601
74,80,1.3333,0.47368000000000005,23,1.333300495668e-08,49.5668
75,80,1.3333,0.57895,23,1.33330050876313e-08,50.87631301
76,80,1.3333,0.68421,23,1.3333005223925e-08,52.23925001
77,80,1.3333,0.78947,23,1.3333005366072e-08,53.66072001
78,80,1.3333,0.89474,23,1.33330055112178e-08,55.112178
79,80,1.3333,1.0,23,1.3333005664046e-08,56.64046001
90,80,1.4444,0.052632000000000005,23,1.44440044730353e-08,44.730353
91,80,1.4444,0.15789,23,1.4444004582124501e-08,45.82124499
92,80,1.4444,0.26316,23,1.4444004697631299e-08,46.976313
93,80,1.4444,0.36841999999999997,23,1.4444004813847199e-08,48.138472
94,80,1.4444,0.47368000000000005,23,1.4444004935968199e-08,49.359682
95,80,1.4444,0.57895,23,1.4444005060893801e-08,50.60893799
96,80,1.4444,0.68421,23,1.4444005191816401e-08,51.91816399
97,80,1.4444,0.78947,23,1.44440053255397e-08,53.25539699
98,80,1.4444,0.89474,23,1.44440054644063e-08,54.64406299
99,80,1.4444,1.0,23,1.44440056092428e-08,56.092428000000005
110,80,1.5556,0.052632000000000005,23,1.55560044712303e-08,44.71230301
111,80,1.5556,0.15789,23,1.55560045775389e-08,45.77538898
112,80,1.5556,0.26316,23,1.55560046865819e-08,46.86581899
113,80,1.5556,0.36841999999999997,23,1.5556004798884698e-08,47.98884701
114,80,1.5556,0.47368000000000005,23,1.5556004917106102e-08,49.17106098
115,80,1.5556,0.57895,23,1.55560050364878e-08,50.36487799
116,80,1.5556,0.68421,23,1.55560051622317e-08,51.62231699
117,80,1.5556,0.78947,23,1.55560052922369e-08,52.922368999999996
118,80,1.5556,0.89474,23,1.5556005424317898e-08,54.24317901
119,80,1.5556,1.0,23,1.55560055622161e-08,55.62216099
130,80,1.6667,0.052632000000000005,23,1.6667004469570698e-08,44.69570702
131,80,1.6667,0.15789,23,1.66670045723302e-08,45.72330201
132,80,1.6667,0.26316,23,1.66670046788259e-08,46.788259000000004
133,80,1.6667,0.36841999999999997,23,1.66670047877288e-08,47.877288
134,80,1.6667,0.47368000000000005,23,1.66670049003266e-08,49.00326601
135,80,1.6667,0.57895,23,1.66670050168812e-08,50.16881199
136,80,1.6667,0.68421,23,1.6667005136762603e-08,51.367626
137,80,1.6667,0.78947,23,1.66670052602754e-08,52.60275399
138,80,1.6667,0.89474,23,1.66670053885921e-08,53.88592099
139,80,1.6667,1.0,23,1.66670055202263e-08,55.202263
150,80,1.7778,0.052632000000000005,23,1.777800446812e-08,44.68120002
